Admission_Number,School_ID,Name_of_Previous_School,School_Address,Start,End,Class_Standing
202301,406668,Pasay City Academy,"Gil Puyat St., Pasay City",Grade 7,Grade 10,With Honors
202301,305364,Pasay City National High School,"Tramo St., Pasay City",Grade 11,Grade 12,None
202302,305497,Acacia National High School,"Acacia, Buhangin District, Davao City",Grade 7,Grade 10,With High Honors
202302,1405510,"Agro-Industrial Foundation College of the Philippines, Inc.","Bolton Riverside, Ecoland, Matina, Davao City",Grade 11,Grade 12,With High Honors
202303,488070,Good Shepherd of Taguig Colleges Inc.,"Block 26, Lot 26, Vila Street P-3, Taguig City",Grade 7,Grade 10,With Honors
202303,1407242,Academia de San Bartolome de Taguig,"Mariano Santos St., Tuktukan, Taguig City",Graded 11,Grade 12,With Honors
202304,1406760,Lourdes School of Mandaluyong,"Shaw Boulevard, Greenhills, Mandaluyong City",Grade 7 ,Grade 10,With High Honors
202304,305393,Mandaluyong High School,"Aglipay St., Mandaluyong City",Grade 11,Grade 12,With Highest Honors
202305,305406,Makati High School,"Gen. Luna Street, Makati City",Grade 7,Grade 10,With High Honors
202305,1406837,"Don Bosco Technical Institute of Makati, Inc.","Chino Roces Avenue, Makati City",Grade 11,Grade 12,With High Honors
202306,411669,Our Lady Of Fatima,"Mc Arthur Highway Valenzuela, Metro Manila",Grade 11,Grade 12,With Highest Honor
202306,400679,Marian College Baliuag,"918 Gil Carlos St. Baliuag, Bulacan",Grade 7 ,Grade10,None
202307,400678,Living Angels Academy Baliuag,"P. Deguzman St. Baliuag, Builacan",Grade 11,Grade 12,None
202307,410669,University of Sto. Tomas,"Espana Blvd. Sampaloc, Metro Manila",Grade 7 ,Grade 10,With Honors
202308,400669,Baliuag University,"Gil Carlos St. Baliuag, Bulacan",Grade 11,grade 12,With Highest Honor
202308,400678,Living Angels Academy Baliuag,"P. Deguzman St. Baliuag, Builacan",Grade 7 ,Grade 10,With Honors
202309,400690,St. Mary's College,"R.E. Chico St. Baliuag, Bulacan",Grade 11 ,Grade12,With Honors
202309,416360,Technological Institute of the Philippines,"Quiapo, Manila",Grade 7 ,Grade 10,With Highest Honor
202310,416360,Colegio de San Juan de Letran,"Muralla St. Intramuros, Manila",Grade 11,Grade 12,None
202310,400679,Marian College Baliuag,"918 Gil Carlos St. Baliuag, Bulacan",Grade 7,Grade 12,None
202311,400942,ABE International Business College Inc-Caloocan Campus,"328 Epifanio de los Santos Ave, East Grace Park, Caloocan, Metro Manila",Grade 7,Grade 10,With Honors
202311,600058,Bicol University College of Education Integrated Laboratory School - High School Department,"4PVF+8GQ, Legazpi City, 4500 Albay",Grade 11,Grade 11,None
202312,407829,AMA Computer College-Davao,"123 General Malvar St, Poblacion District, Davao City, 8000 Davao del Sur",Grade 7,Grade 10,With High Honors
202312,409956,Ateneo de Davao University-Senior High School,"McArthur Highway, Bangkal, Davao City",Grade 11,Grade 12,With High Honors
202313,400942,ABE International Business College Inc-Caloocan Campus,"328 Epifanio de los Santos Ave, East Grace Park, Caloocan, Metro Manila",Grade 7,Grade 10,With Honors
202313,405512,Ateneo De Davao University-Senior High School,"Km 8 McArthur Highway, Talomo, Davao City, 8000 Davao del Sur",Grade 11,Grade 11,None
202314,400942,ABE International Business College Inc-Caloocan Campus,"328 Epifanio de los Santos Ave, East Grace Park, Caloocan, Metro Manila",Grade 7,Grade 10,With Honors
202314,407578,Father Saturnino Urios University - BP Pueblos Senior High,"JX9M+499, Alvarez St, Santa Cruz, Manila, 1008 Metro Manila",Grade 11,Grade 11,None
202315,403633,"Camarines Norte Chung Hua High School Foundation, Inc.","1419 Zabala St, Daet, Camarines Norte",Grade 7,Grade 10,With High Honors
202315,400942,ABE International Business College Inc-Caloocan Campus,"328 Epifanio de los Santos Ave, East Grace Park, Caloocan, Metro Manila",Grade 11,Grade 12,With Honors
